    Send    	    发送    
(.*)The site map displays information about the contents of your target applications, along with any issues that have been discovered\. This is automatically populated during scans and while you browse using Burp's browser\.(.*)	$1站点地图显示关于你的目标应用程序的内容的信息，以及已经发现的任何问题。这是在扫描期间和你使用Burp浏览器浏览时自动填充的。$2
(.*)There is an uppercase letter or a colon in this header name:(.*)	$1该标题名称中有一个大写字母或一个冒号:$2
(.*)This displays the history of all HTTP traffic sent between Burp's browser and your target applications, even while intercept is switched off\.(.*)	$1显示Burp浏览器和您的目标应用程序之间发送的所有HTTP流量的历史，即使在拦截关闭时也是如此。$2
(.*)This displays the history of all WebSocket traffic sent between Burp's browser and your target applications\. WebSockets provide long-lived connections for streaming data and other asynchronous traffic\.(.*)	$1显示Burp浏览器和你的目标应用之间发送的所有WebSocket流量的历史。WebSockets为流式数据和其他异步流量提供了长期的连接。$2
(.*)Unknown host:(.*)	$1未知主机:$2
(.*)When enabled, requests sent by Burp's browser are held here so that you can analyze and modify them before forwarding them to the target server\.(.*)	$1启用后，Burp浏览器发送的请求会被保存在这里，以便你在转发到目标服务器之前分析和修改它们。$2
(.*)[Cc]apturing all items(.*)	$1捕捉所有项目$2
(.*)[Cc]apturing requests up to (100kB|1MB)(.*)	$1最大请求 $2$3
(.*)[Cc]apturing responses up to (100kB|1MB)(.*)	$1最大响应 $2$3
(.*)[Dd]iscarding (HTML, )?(script, )?(XML, )?(CSS, )?(HTML|script|XML|CSS|flash) content(.*)	$1$2$3$4$5$6丢弃$7
(.*)[Dd]iscarding (HTML, )?(script, )?(XML, )?(CSS, )?flash and general binary content(.*)	$1$2$3$4$5flash, 丢弃全部二进制$6
(.*)[Dd]iscarding (HTML, )?(script, )?(XML, )?(CSS, )?general binary content(.*)	$1$2$3$4$5丢弃全部二进制$6
(.*)[Dd]iscarding (HTML, )?(script, )?(XML, )?(CSS, )?general text and flash content(.*)	$1$2$3$4$5常规文本, 丢弃flash$6
(.*)[Dd]iscarding (HTML, )?(script, )?(XML, )?(CSS, )?general text and image content(.*)	$1$2$3$4$5常规文本, 丢弃图像$6
(.*)[Dd]iscarding (HTML, )?(script, )?(XML, )?(CSS, )?general text content(.*)	$1$2$3$4$5丢弃全部文本$6
(.*)[Dd]iscarding (HTML, )?(script, )?(XML, )?(CSS, )?general text(, flash)? and general binary content(.*)	$1$2$3$4$5常规文本$6, 丢弃全部二进制$7
(.*)[Dd]iscarding (HTML, )?(script, )?(XML, )?(CSS, )?general text, image and flash content(.*)	$1$2$3$4$5常规文本, 图像, 丢弃flash$6
(.*)[Dd]iscarding (HTML, )?(script, )?(XML, )?(CSS, )?general text, image(, flash)? and general binary content(.*)	$1$2$3$4$5常规文本, 图像$6, 丢弃全部二进制$7
(.*)[Dd]iscarding (HTML, )?(script, )?(XML, )?(CSS, )?image and flash content(.*)	$1$2$3$4$5图像, 丢弃flash$6
(.*)[Dd]iscarding (HTML, )?(script, )?(XML, )?(CSS, )?image content(.*)	$1$2$3$4$5丢弃图像$6
(.*)[Dd]iscarding (HTML, )?(script, )?(XML, )?(CSS, )?image(, flash)? and general binary content(.*)	$1$2$3$4$5图像$6, 丢弃全部二进制$7
(.*)[Dd]iscarding (HTML|script|XML|CSS)(, script)?(, XML)?(, CSS)? and (script|XML|CSS|flash) content(.*)	$1$2$3$4$5, $6丢弃$7
(.*)[Dd]iscarding (HTML|script|XML|CSS)(, script)?(, XML)?(, CSS)? and general binary content(.*)	$1$2$3$4$5, 丢弃全部二进制$6
(.*)[Dd]iscarding (HTML|script|XML|CSS)(, script)?(, XML)?(, CSS)? and general text content(.*)	$1$2$3$4$5, 丢弃全部文本$6
(.*)[Dd]iscarding (HTML|script|XML|CSS)(, script)?(, XML)?(, CSS)? and image content(.*)	$1$2$3$4$5, 丢弃图像$6
(.*)[Dd]iscarding ([2-5]xx) responses(.*)	$1$2丢弃响应$3
(.*)[Dd]iscarding ([2-5]xx)((, [2-5]xx)*)( and ([2-5]xx)) responses(.*)	$1$2$3, $6丢弃响应$7
(.*)[Dd]iscarding items from (Target|Proxy|Scanner|Intruder|Repeater|Sequencer)((, (Proxy|Scanner|Intruder|Repeater|Sequencer|Extender))*)( and (Proxy|Scanner|Intruder|Repeater|Sequencer|Extender))(.*)	$1$2$3 ,$7丢弃$8
(.*)[Dd]iscarding items from (Target|Proxy|Scanner|Intruder|Repeater|Sequencer|Extender)(;.*|$)	$1$2丢弃$3
(.*)[Dd]iscarding items without responses(;.*|$)	$1丢弃无响应的项目$2
(.*)[Dd]iscarding non-parameterized items and items without responses(;.*|$)	$1无参数，丢弃无响应项目$2
(.*)[Dd]iscarding non-parameterized items(;.*|$)	$1丢弃无参数项目$2
(.*)[Dd]iscarding out of scope and non-parameterized items and items without responses(;.*|$)	$1范围外，无参数，丢弃无响应的项目$2
(.*)[Dd]iscarding out of scope and non-parameterized items(;.*|$)	$1范围外，丢弃无参数项目$2
(.*)[Dd]iscarding out of scope items and items without responses(;.*|$)	$1范围外，丢弃无响应的项目$2
(.*)[Dd]iscarding out of scope items(;.*|$)	$1丢弃范围外的项目$2
(.*)[Dd]iscarding session handling requests(;.*|$)	$1丢弃会话处理请求$2
(.*)[Hh]iding (HTML, )?(script, )?(XML, )?(CSS, )?(HTML|script|XML|CSS|flash) content(.*)	$1$2$3$4$5$6隐藏$7
(.*)[Hh]iding (HTML, )?(script, )?(XML, )?(CSS, )?flash and general binary content(.*)	$1$2$3$4$5flash, 隐藏全部二进制$6
(.*)[Hh]iding (HTML, )?(script, )?(XML, )?(CSS, )?general binary content(.*)	$1$2$3$4$5隐藏全部二进制$6
(.*)[Hh]iding (HTML, )?(script, )?(XML, )?(CSS, )?general text and flash content(.*)	$1$2$3$4$5隐藏全部文本和flash$6
(.*)[Hh]iding (HTML, )?(script, )?(XML, )?(CSS, )?general text and image content(.*)	$1$2$3$4$5隐藏全部文本和image$6
(.*)[Hh]iding (HTML, )?(script, )?(XML, )?(CSS, )?general text content(.*)	$1$2$3$4$5隐藏全部文本$6
(.*)[Hh]iding (HTML, )?(script, )?(XML, )?(CSS, )?general text(, flash)? and general binary content(.*)	$1$2$3$4$5全部文本$6, 隐藏全部二进制$7
(.*)[Hh]iding (HTML, )?(script, )?(XML, )?(CSS, )?general text, image and flash content(.*)	$1$2$3$4$5隐藏全部文本、image和flash$6
(.*)[Hh]iding (HTML, )?(script, )?(XML, )?(CSS, )?general text, image(, flash)? and general binary content(.*)	$1$2$3$4$5全部文本、image$6, 隐藏全部二进制$7
(.*)[Hh]iding (HTML, )?(script, )?(XML, )?(CSS, )?image and flash content(.*)	$1$2$3$4$5image, flash隐藏$6
(.*)[Hh]iding (HTML, )?(script, )?(XML, )?(CSS, )?image content(.*)	$1$2$3$4$5image隐藏$6
(.*)[Hh]iding (HTML, )?(script, )?(XML, )?(CSS, )?image(, flash)? and general binary content(.*)	$1$2$3$4$5image$6, 隐藏全部二进制$7
(.*)[Hh]iding (HTML|script|XML|CSS)(, script)?(, XML)?(, CSS)? and (script|XML|CSS|flash) content(.*)	$1$2$3$4$5, $6隐藏$7
(.*)[Hh]iding (HTML|script|XML|CSS)(, script)?(, XML)?(, CSS)? and general binary content(.*)	$1$2$3$4$5, 隐藏全部二进制$6
(.*)[Hh]iding (HTML|script|XML|CSS)(, script)?(, XML)?(, CSS)? and general text content(.*)	$1$2$3$4$5, 隐藏全部文本$6
(.*)[Hh]iding (HTML|script|XML|CSS)(, script)?(, XML)?(, CSS)? and image content(.*)	$1$2$3$4$5, image隐藏$6
(.*)[Hh]iding ([2-5]xx) responses(.*)	$1$2隐藏响应$3
(.*)[Hh]iding ([2-5]xx, )?([2-5]xx, )?((, )?[2-5]xx) and ([2-5]xx) responses(.*)	$1$2$3$4$5, $6隐藏响应$7
(.*)[Hh]iding empty folders(.*)	$1隐藏空文件夹$2
(.*)[Hh]iding incoming items(.*)	$1隐藏接收项目$2
(.*)[Hh]iding items from (Target|Proxy|Scanner|Intruder|Repeater|Sequencer)((, (Proxy|Scanner|Intruder|Repeater|Sequencer|Extender))*)( and (Proxy|Scanner|Intruder|Repeater|Sequencer|Extender))(.*)	$1$2$3 ,$7隐藏$8
(.*)[Hh]iding items from (Target|Proxy|Scanner|Intruder|Repeater|Sequencer|Extender)(;.*|$)	$1$2隐藏$3
(.*)[Hh]iding non-parameterized and not found items(.*)	$1隐藏无参数，不存在的项目$2
(.*)[Hh]iding non-parameterized items(.*)	$1隐藏无参数项目$2
(.*)[Hh]iding not found items(.*)	$1隐藏不存在的项目$2
(.*)[Hh]iding out of scope and incoming items(.*)	$1隐藏范围外，接收项目$2
(.*)[Hh]iding out of scope and non-parameterized items(.*)	$1隐藏范围外，无参数项目$2
(.*)[Hh]iding out of scope and not found items(.*)	$1隐藏范围外，不存在的项目$2
(.*)[Hh]iding out of scope and outgoing items(.*)	$1隐藏范围外，发送项目$2
(.*)[Hh]iding out of scope and unrequested items(.*)	$1隐藏范围外，无响应项目$2
(.*)[Hh]iding out of scope and unresponded items(.*)	$1隐藏范围外，无响应项目$2
(.*)[Hh]iding out of scope items(.*)	$1隐藏范围外项目$2
(.*)[Hh]iding out of scope, non-parameterized and not found items(.*)	$1隐藏范围外，无参数，不存在的项目$2
(.*)[Hh]iding out of scope, outgoing and incoming items(.*)	$1隐藏范围外, 传出和传入的项目$2
(.*)[Hh]iding out of scope, unrequested and non-parameterized items(.*)	$1隐藏范围外，无响应，无参数项目$2
(.*)[Hh]iding out of scope, unrequested and not found items(.*)	$1隐藏范围外，无响应，不存在的项目$2
(.*)[Hh]iding out of scope, unrequested, non-parameterized and not found items(.*)	$1隐藏范围外，无响应，无参数，不存在的项目$2
(.*)[Hh]iding out of scope, unresponded and non-parameterized items(.*)	$1隐藏范围外，无响应，无参数项目$2
(.*)[Hh]iding outgoing and incoming items(.*)	$1隐藏传出和传入的项目$2
(.*)[Hh]iding outgoing items(.*)	$1隐藏传出项目$2
(.*)[Hh]iding specific extensions(.*)	$1隐藏指定扩展名$2
(.*)[Hh]iding unrequested and non-parameterized items(.*)	$1隐藏无响应，无参数项目$2
(.*)[Hh]iding unrequested and not found items(.*)	$1无响应，隐藏不存在的项目$2
(.*)[Hh]iding unrequested items(.*)	$1隐藏无响应的项目$2
(.*)[Hh]iding unrequested, non-parameterized and not found items(.*)	$1隐藏无响应、无参数、不存在的项目$2
(.*)[Hh]iding unresponded and non-parameterized items(.*)	$1隐藏无响应，无参数项目$2
(.*)[Hh]iding unresponded items(.*)	$1隐藏无响应项目$2
(.*)[Mm]atching expression (.*)	$1匹配表达式 $2
(.*)[Mm]atching regex (.*)	$1匹配正则表达式 $2
(.*)[Nn]ot matching expression (.*)	$1不匹配表达式 $2
(.*)[Nn]ot matching regex (.*)	$1不匹配正则表达式 $2
(.*)[Ss]howing only commented and highlighted items(.*)	$1仅显示带注释和高亮的项目$2
(.*)[Ss]howing only commented items(.*)	$1仅显示带注释的项目$2
(.*)[Ss]howing only highlighted items(.*)	$1仅显示带高亮的项目$2
(.*)[Ss]howing only listener (.*)	$1仅显示监听$2
(.*)[Ss]howing specific extensions(.*)	$1显示指定的扩展名$2
(.*)\[disk projects only\](.*)	$1[仅限磁盘项目]$2
(.*)\[Pro version only\](.*)	$1[仅专业版]$2
(.*)\[Pro version with 64-bit Java only\](.*)	$1[仅64位Java专业版]$2
(.*: )excellent.	$1优秀。
(.*: )extremely poor.	$1极差。
(.*: )FIPS-compliant.	$1FIPS合规。
(.*: )good.	$1好。
(.*: )poor.	$1差。
(.*: )reasonable.	$1合理的。
(.*: )very good.	$1非常好。
(.*: )very poor.	$1非常差。
(.*\.) Estimating time remaining\.\.\.	$1 剩下的时间估计中...
(Leave blank to run once only)	(保留为空将仅运行一次)
(only available for disk-based projects)	(仅适用于基于磁盘的项目)
([,0-9]+) bytes \| ([0-9]+) millis	$1字节 | $2毫秒
([,0-9]+) bytes?	$1字节
([,0-9]+) highlights?	$1高亮
([,0-9]+) issues selected	$1选择问题
([,0-9]+) items selected	$1选择项目
([,0-9]+) results selected	$1选择结果
([,0-9]+) submissions?	$1提交
([0-9]+) anomalies were identified in this test:	在这项测试中发现了$1个异常情况: 
([0-9]+) bits failed the test. The following ([0-9]+) bits passed the test: ([0-9]+)((, [0-9]+)*).(.*)	$1比特不合格。下一次$2比特是合格的: $3$4$6
([0-9]+) bits passed the test. The following ([0-9]+) bits failed the test: ([0-9]+)((, [0-9]+)*).(.*)	$1比特合格。下一次$2比特不合格: $3$4$6
([0-9]+) items added to site map	$1个项目添加到站点地图
([0-9]+) items?	$1项目
([0-9]+) letter words	$1文字单词
([0-9]+) locations crawled	$1个已爬取的地址
([0-9]+) payload positions?	$1有效载荷位置
([0-9]+) requests \(([0-9]+) errors\)	$1个请求($2个错误)
([0-9]+) responses processed	$1个响应已处理
([0-9]+) responses queued	$1个响应排队中
([0-9]+) results?	$1事件的结果
([0-9]+) tokens were padded with (.*) at the end.	$1令牌结束$2令牌被填充
([0-9]+) tokens were padded with (.*) at the start.	$1令牌开始$2令牌被填充
([0-9]+) \(approx\)	约$1
([0-9]+) \(max\)	$1 (最大)
([0-9]+)% complete	$1%完成
([0-9]+)h ([0-9]+)m ([0-9]+)s	$1时 $2分 $3秒
([0-9]+)m ([0-9]+)s	$1分 $2秒
([0-9]+)s	$1秒
([0-9]+)\. Audit of (.*)	$1. $2审计
([0-9]+)\. Crawl and audit of (.*)	$1. $2爬行和审计
([0-9]+)\. Crawl of (.*)	$1. $2爬行
([0-9]+)\. Intruder attack of (.*)	$1. Intruder攻击 $2
([0-9]+)\. Live audit from (Proxy|Repeater) and (Repeater|Intruder) \(all traffic\)	$1. $2,$3从实时审计(所有流量)
([0-9]+)\. Live audit from (Proxy|Repeater) and (Repeater|Intruder) \(custom scope\)	$1. $2,$3从实时审计(自定义范围)
([0-9]+)\. Live audit from (Proxy|Repeater) and (Repeater|Intruder) \(suite scope\)	$1. $2,$3从实时审计(suite范围)
([0-9]+)\. Live audit from (Proxy|Repeater|Intruder) \(all traffic\)	$1. $2从实时审计(所有流量)
([0-9]+)\. Live audit from (Proxy|Repeater|Intruder) \(custom scope\)	$1. $2从实时审计(自定义范围)
([0-9]+)\. Live audit from (Proxy|Repeater|Intruder) \(suite scope\)	$1. $2从实时审计(suite范围)
([0-9]+)\. Live audit from Proxy, Repeater and Intruder \(all traffic\)	$1. Proxy,Repeater,Intruder从实时审计(所有流量)
([0-9]+)\. Live audit from Proxy, Repeater and Intruder \(custom scope\)	$1. Proxy,Repeater,Intruder从实时审计(自定义范围)
([0-9]+)\. Live audit from Proxy, Repeater and Intruder \(suite scope\)	$1. Proxy,Repeater,Intruder从实时审计(suite范围)
([0-9]+)\. Live passive crawl from (Proxy|Repeater) and (Repeater|Intruder) \(all traffic\)	$1. $2,$3从实时被动抓取(所有流量)
([0-9]+)\. Live passive crawl from (Proxy|Repeater) and (Repeater|Intruder) \(custom scope\)	$1. $2,$3从实时被动抓取(自定义范围)
([0-9]+)\. Live passive crawl from (Proxy|Repeater) and (Repeater|Intruder) \(suite scope\)	$1. $2,$3从实时被动抓取(suite范围)
([0-9]+)\. Live passive crawl from (Proxy|Repeater|Intruder) \(all traffic\)	$1. $2从实时被动抓取(所有流量)
([0-9]+)\. Live passive crawl from (Proxy|Repeater|Intruder) \(custom scope\)	$1. $2从实时被动抓取(自定义范围)
([0-9]+)\. Live passive crawl from (Proxy|Repeater|Intruder) \(suite scope\)	$1. $2从实时被动抓取(suite范围)
([0-9]+)\. Live passive crawl from Proxy, Repeater and Intruder \(all traffic\)	$1. Proxy,Repeater,Intruder从实时被动抓取(所有流量)
([0-9]+)\. Live passive crawl from Proxy, Repeater and Intruder \(custom scope\)	$1. Proxy,Repeater,Intruder从实时被动抓取(自定义范围)
([0-9]+)\. Live passive crawl from Proxy, Repeater and Intruder \(suite scope\)	$1. $Proxy,Repeater,Intruder从实时被动抓取(suite范围)
([0-9]+)\. Passive scans	$1. 被动扫描
([1-9][0-9]*) match(es)?	$1件匹配
([A-Z]+) request to (.*)	$2 到 $1 请求
0 matches	匹配
0 positions	位置
1 (LSB)	1(最低有效位)
1. Click the "Copy Clickbandit to clipboard" button below. This will copy the Clickbandit script to your clipboard.	1. 单击下面的"Copy Clickbandit to clipboard"按钮。这会将Clickbandit脚本复制到剪贴板。。
1. Install the Burp Suite Navigation Recorder browser extension (Chrome only).	1. Burp Suite Navigation Recorder安装浏览器扩展(仅限Chrome)。
1. Using your browser, go to the following URL:	1. 使用浏览器，进入以下网址:
2. Copy the following data into the activation request field in your browser:	2. 复制以下数据到激活请求字段在您的浏览器:
2. In your browser, visit the web page that you want to test, in the usual way.	2. 在浏览器中，像往常一样访问您想要测试的网页。
2. When prompted, allow the extension to use incognito mode.	2. 如果显示提示，则允许扩展使用保密模式。
2xx  [success]	2xx  [成功]
3. In Chrome, click on the extension and select "Start recording" to open a new incognito window.	3. 在Chrome中单击扩展功能，然后选择"Start recording"以打开新的秘密窗口。
3. In your browser, open the web developer console. This might also be called "developer tools" or "JavaScript console".	3. 在浏览器中打开Web开发人员控制台。这也被称为"开发者工具"或"JavaScript控制台"。
3. Paste below the data from the activation response field in your browser:	3. 粘贴下面的数据，从激活响应字段在您的浏览器:
3xx  [redirection]	3xx  [重定向]
3xx status code with Location header	带Location标头的3xx状态代码
4. Navigate to your login page and complete the login process.	4. 转到登录页面，完成登录处理。
4. Paste the Clickbandit script into the web developer console, and press enter.	4. 将Clickbandit脚本粘贴到Web开发人员控制台，然后按Enter。
4xx  [request error]	4xx  [请求错误]
4xx  [request error]    	4xx  [请求错误]  
5. Click on the extension and stop the recording.	5. 单击扩展功能以停止记录。
5xx  [server error]	5xx  [服务器错误]
6. Click "Copy to clipboard" and paste the script into the field above.	6. 单击"Copy to clipboard"，然后将脚本粘贴到上面的字段中。
8 (MSB)	8(最高有效位)
<html>Restore the settings that was selected in the <b>Proxy &gt; Intercept</b> tab when Burp closed</html>	<html>恢复Burp关闭时在 <b>代理 &gt; 拦截</b> 选项卡中选择的设置</html>
<html>Select <b>Pause automated tasks</b> by default</html>	<html>默认选择 <b>暂停自动任务</b>	</html>
A backup of the project has been found, please indicate whether you would like to attempt a repair of the project or open the backup.	找到项目备份。请指定是尝试修复项目还是打开备份文件。
A built-in configuration has the same name	名称与内置设置相同。
A communications error occurred. Please review your connection settings and retry, or attempt to perform manual activation.	发生了通信错误。请检查连接设置，然后重试，或执行手动激活。
A configuration with the name "(.*)" already exists	"$1"这个名字的设置已经存在了
A macro is a sequence of one or more requests. You can use macros within session handling rules to perform tasks such as logging in to the application, obtaining anti-CSRF tokens, etc.	宏是一个或多个请求的序列。使用会话处理规则中的宏，您可以执行任务，例如登录应用程序或获取CSRF对策令牌。
A macro is a sequence of one or more requests. You can use macros within session handling rules to perform tasks such as logging in to the application, obtaining anti-CSRF tokens, etc. Use these settings to manage your macros.	一个宏是一个或多个请求的序列。你可以在会话处理规则中使用宏来执行任务，如登录到应用程序，获得反CSRF令牌等。使用这些设置来管理你的宏。
A new version of Burp is available.	Burp新版本可用。
A resource pool is a grouping of tasks that share a quota of network resources. Each resource pool can be configured with its own throttling settings which control the number of requests that can be made concurrently, or the rate at which requests can be made, or both.	资源池对共享网络资源分配的任务进行了分组。每个资源池都可以设置为调整同时请求的数量或请求的速度或两者。
A resource pool is a grouping of tasks that share a quota of network resources. Each resource pool can have its own throttling settings, controlling the number of concurrent requests that can be made, the rate at which those requests can be made, or both.	一个资源池是一组共享网络资源配额的任务。每个资源池都可以有自己的节流设置，控制可以发出的并发请求的数量，可以发出这些请求的速度，或者两者都有。
About	关于Burp Suite
About Burp Scanner	关于Burp Scanner
Accept cookies	接受cookie
Achieve greater coverage and gain a better understanding of a site's security posture. Scanning time depends heavily on the target site's size and complexity.	实现更大的覆盖面，更好地了解一个网站的安全状况。扫描时间在很大程度上取决于目标网站的规模和复杂性。
Action	操作
Action URL	操作URL
Action URL and method	操作URL和方法
Action URL, method and fields	操作URL、方法和字段
Action URL, method, fields and values	操作URL、方法、字段和值
Action URL:	操作URL:
Actions	操作
Activate License	激活许可证
Activation Failed	激活失败
Active and passive scanning	主动和被动扫描
Active checks	主动检查
Active phases	主动阶段
Active Scanning Areas	主动扫描区域
Active Scanning Engine	主动扫描引擎
Active scanning only	仅主动扫描
Active Scanning Optimization	主动扫描优化
Active scanning wizard	主动扫描向导
Active scans	主动扫描
Actively scan all in-scope traffic through Proxy	通过代理主动扫描所有范围内流量
Actively scan defined insertion points	主动扫描定义的插入点
Actively scan selected items	主动扫描所选项目
Actively scan this branch	激活此分支扫描
Actively scan this host	主动扫描此主机
Add	添加
Add "skip parameter" rule	添加"跳过参数"规则
Add % prefix before each byte	在每个字节前添加%前缀
Add a new action	添加新的行动
Add a new client certificate	添加新客户端证书
Add a new custom parameter location	添加自定义参数位置
Add a new extract item	添加新的提取项目
Add a new form field completion rule	添加新表单字段完成规则
Add a new header	添加新的header
Add a new interception rule	添加新拦截规则
Add a new item	添加新项目
Add a new item by pasting a URL	粘贴URL并添加新项目
Add a new listener	添加新的监听
Add a new macro	添加新的宏
Add a new match/replace rule	添加新匹配/替换规则
Add a new parameter	添加新参数
Add a new payload processing rule	添加新的有效载荷处理规则
Add a new proxy listener	添加新的代理监听
Add a new task	添加新任务
Add a new upstream proxy rule	添加新的上游代理规则
Add all items requested through Proxy to site map	将通过代理请求的所有项目添加到站点地图
Add all links observed in traffic through Proxy to site map	将通过代理在流量中观察到的所有链接添加到站点地图
Add another decoder	添加另一个解码器
Add comment	添加注释
Add cookies received in responses to the session handling cookie jar	将响应中收到的cookie添加到会话处理cookie jar中
Add discovered content to suite site map	将发现的内容添加到站点地图
Add entries here to override your computer's DNS resolution.	要覆盖计算机的DNS名称解析，请将其添加到此处。
Add form field completion rule	添加表单字段完成规则
Add from list ...	从列表中添加 ...
Add from list ... [Pro version only]	从列表中添加 ... [只有专业版]
Add hostname resolution rule	添加主机名解析规则
Add hotkey	添加热键
Add if not present.	如果不存在则添加
Add links. Add item itself, same domain and URLs in suite scope.	添加链接。在Suite范围内添加项目本身、相同的域和URL。
Add match/replace rule	添加搜索/替换规则
Add payload processing rule	添加有效载荷处理规则
Add platform authentication credentials	添加平台认证凭证
Add prefix	添加前缀
Add prefix for in-scope URLs	添加范围内URL的前缀
Add prefix for out-of-scope URLs	添加范围外URL的前缀
Add random variations	添加随机权重
Add random variations to throttle	添加随机权重
Add raw payload	添加原始有效载荷
Add request header	添加请求标头
Add request interception rule	添加请求拦截规则
Add response interception rule	添加响应拦截规则
Add SSL passthrough target	添加SSL传递目标
Add streaming URL	添加流媒体URL
Add streaming URL prefix	添加流媒体URL前缀
Add suffix	添加后缀
Add tab	添加标签
Add tab to group	添加标签到组
